 Step       Num walks        Ene     acc_prob
         1           100       1.6883392155       0.6200000000
         2           100       1.6883362400       0.6300000000
         3           100       1.6884950264       0.6800000000
         4           100       1.6883548773       0.6600000000
         5           100       1.6888019134       0.7600000000
         6           100       1.6888227633       0.6700000000
         7           100       1.6888698008       0.5500000000
         8           100       1.6889151640       0.5300000000
         9           100       1.6888183451       0.7600000000
        10           100       1.6889089365       0.7000000000
        11           100       1.6890781223       0.5700000000
        12           100       1.6890562198       0.5900000000
        13           100       1.6887465381       0.6000000000
        14           100       1.6888129999       0.6300000000
        15           100       1.6888932510       0.6400000000
        16           100       1.6889780177       0.6000000000
        17           100       1.6891724003       0.6800000000
        18           100       1.6890799503       0.5900000000
        19           100       1.6889884388       0.5900000000
        20           100       1.6889783803       0.5100000000
        21           100       1.6891216770       0.6200000000
        22           100       1.6890635686       0.6500000000
        23           100       1.6891379749       0.5000000000
        24           100       1.6893177087       0.4600000000
        25           100       1.6892301582       0.5900000000
        26           100       1.6892307824       0.5900000000
        27           100       1.6892061190       0.6300000000
        28           100       1.6892218681       0.6400000000
        29           100       1.6892920765       0.6200000000
        30           100       1.6894050848       0.6100000000
        31           100       1.6894691271       0.6000000000
        32           100       1.6893996097       0.5800000000
        33           100       1.6896550298       0.5900000000
        34           100       1.6895560640       0.5900000000
        35           100       1.6893719976       0.6100000000
        36           100       1.6894330123       0.4900000000
        37           100       1.6893619647       0.5800000000
        38           100       1.6895225557       0.4700000000
        39           100       1.6897555426       0.5500000000
        40           100       1.6896387999       0.4700000000
        41           100       1.6895651131       0.5600000000
        42           100       1.6895722177       0.5300000000
        43           100       1.6896448749       0.5200000000
        44           100       1.6897486228       0.5000000000
        45           100       1.6897126391       0.5200000000
        46           100       1.6895248261       0.5200000000
        47           100       1.6897921262       0.5800000000
        48           100       1.6900786030       0.5400000000
        49           100       1.6899556096       0.4400000000
        50           100       1.6899460152       0.5400000000
        51           100       1.6899708270       0.4400000000
        52           100       1.6899674152       0.5300000000
        53           100       1.6900205937       0.5900000000
        54           100       1.6901139401       0.5500000000
        55           100       1.6898637279       0.5200000000
        56           100       1.6898043911       0.6200000000
        57           100       1.6897715712       0.5600000000
        58           100       1.6901785198       0.6000000000
        59           100       1.6902309846       0.5100000000
        60           100       1.6900016316       0.5200000000
        61           100       1.6900114100       0.5900000000
        62           100       1.6902422854       0.4400000000
        63           100       1.6899423071       0.4700000000
        64           100       1.6884851938       0.4400000000
        65           100       1.6896378753       0.5600000000
        66           100       1.6895769898       0.4700000000
        67           100       1.6901050450       0.5100000000
        68           100       1.6902896072       0.5700000000
        69           100       1.6905124990       0.5500000000
        70           100       1.6899004370       0.5800000000
        71           100       1.6898083232       0.5500000000
        72           100       1.6901367261       0.4800000000
        73           100       1.6902782710       0.4800000000
        74           100       1.6902521502       0.5300000000
        75           100       1.6901586731       0.4100000000
        76           100       1.6902286443       0.4500000000
        77           100       1.6903423385       0.5100000000
        78           100       1.6892353295       0.4900000000
        79           100       1.6894362021       0.5500000000
        80           100       1.6900571978       0.4800000000
        81           100       1.6901312160       0.5100000000
        82           100       1.6901770848       0.4200000000
        83           100       1.6901706780       0.4900000000
        84           100       1.6902337373       0.4800000000
        85           100       1.6904228506       0.5100000000
        86           100       1.6905109152       0.5200000000
        87           100       1.6903637262       0.4700000000
        88           100       1.6891528833       0.4700000000
        89           100       1.6892960555       0.3700000000
        90           100       1.6905963653       0.4500000000
        91           100       1.6902332277       0.4000000000
        92           100       1.6902111458       0.4900000000
        93           100       1.6905974046       0.5300000000
        94           100       1.6906611019       0.5600000000
        95           100       1.6904620723       0.4600000000
        96           100       1.6905435336       0.4700000000
        97           100       1.6903888886       0.4500000000
        98           100       1.6904018479       0.5200000000
        99           100       1.6903567179       0.4100000000
       100           100       1.6904526344       0.4600000000
       101           100       1.6907698734       0.4600000000
       102           100       1.6904269481       0.4200000000
       103           100       1.6902756221       0.4700000000
       104           100       1.6897104867       0.4500000000
       105           100       1.6901650226       0.4700000000
       106           100       1.6902452720       0.4500000000
       107           100       1.6903809127       0.5500000000
       108           100       1.6906240589       0.5200000000
       109           100       1.6898771024       0.4800000000
       110           100       1.6899823368       0.4700000000
       111           100       1.6904033459       0.3300000000
       112           100       1.6905915753       0.4600000000
       113           100       1.6905514054       0.4500000000
       114           100       1.6906028386       0.4800000000
       115           100       1.6904320752       0.4300000000
       116           100       1.6903999957       0.4400000000
       117           100       1.6903548655       0.4400000000
       118           100       1.6901440118       0.3500000000
       119           100       1.6903643482       0.3900000000
       120           100       1.6901556016       0.3700000000
       121           100       1.6901007543       0.4400000000
       122           100       1.6903958397       0.3900000000
       123           100       1.6904783108       0.3900000000
       124           100       1.6905394270       0.4000000000
       125           100       1.6905690742       0.3700000000
       126           100       1.6903580269       0.4100000000
       127           100       1.6898847712       0.4900000000
       128           100       1.6901346956       0.4400000000
       129           100       1.6907720129       0.5300000000
       130           100       1.6903580498       0.4400000000
       131           100       1.6902029385       0.4100000000
       132           100       1.6903848304       0.4800000000
       133           100       1.6902903752       0.3800000000
       134           100       1.6901318073       0.4200000000
       135           100       1.6881721828       0.3900000000
       136           100       1.6885322729       0.3500000000
       137           100       1.6905814729       0.5100000000
       138           100       1.6903773441       0.4000000000
       139           100       1.6900384503       0.4800000000
       140           100       1.6899964259       0.4600000000
       141           100       1.6904286773       0.4600000000
       142           100       1.6902954255       0.5900000000
       143           100       1.6904977577       0.4800000000
       144           100       1.6904355280       0.4700000000
       145           100       1.6900282791       0.4600000000
       146           100       1.6898980902       0.4400000000
       147           100       1.6901456989       0.4500000000
       148           100       1.6903721116       0.4900000000
       149           100       1.6904364394       0.3600000000
       150           100       1.6901289660       0.4900000000
       151           100       1.6901036054       0.4600000000
       152           100       1.6900748450       0.4300000000
       153           100       1.6907154940       0.4500000000
       154           100       1.6907336146       0.3500000000
       155           100       1.6905465888       0.5200000000
       156           100       1.6900904941       0.4600000000
       157           100       1.6902393014       0.4000000000
       158           100       1.6904636079       0.4400000000
       159           100       1.6903656510       0.4200000000
       160           100       1.6901872282       0.3600000000
       161           100       1.6901069494       0.4700000000
       162           100       1.6898354822       0.3800000000
       163           100       1.6900621467       0.4200000000
       164           100       1.6897970363       0.3900000000
       165           100       1.6901250270       0.3600000000
       166           100       1.6900093751       0.4900000000
       167           100       1.6898782801       0.4300000000
       168           100       1.6901462609       0.4500000000
       169           100       1.6901256129       0.3400000000
       170           100       1.6902800627       0.4200000000
       171           100       1.6901907872       0.3700000000
       172           100       1.6899232353       0.3600000000
       173           100       1.6902945412       0.4200000000
       174           100       1.6903675779       0.3000000000
       175           100       1.6900377803       0.4000000000
       176           100       1.6901922290       0.2600000000
       177           100       1.6900261674       0.4300000000
       178           100       1.6900846255       0.4300000000
       179           100       1.6902771259       0.4600000000
       180           100       1.6904776018       0.4100000000
       181           100       1.6908073438       0.3500000000
       182           100       1.6894326136       0.4100000000
       183           100       1.6906807293       0.3900000000
       184           100       1.6905677724       0.4000000000
       185           100       1.6905474267       0.3800000000
       186           100       1.6907803393       0.4300000000
       187           100       1.6901151788       0.4200000000
       188           100       1.6902501685       0.4000000000
       189           100       1.6902397423       0.4700000000
       190           100       1.6900677974       0.3700000000
       191           100       1.6900601356       0.4900000000
       192           100       1.6901699626       0.5200000000
       193           100       1.6899884880       0.4100000000
       194           100       1.6892837228       0.3700000000
       195           100       1.6898687022       0.3600000000
       196           100       1.6899544852       0.4400000000
       197           100       1.6891929351       0.3400000000
       198           100       1.6892058159       0.4600000000
       199           100       1.6898416249       0.3300000000
       200           100       1.6894935037       0.4400000000
       201           100       1.6894567469       0.3900000000
       202           100       1.6899770043       0.3700000000
       203           100       1.6902643790       0.4400000000
       204           100       1.6903742229       0.4500000000
       205           100       1.6905084149       0.3000000000
       206           100       1.6898509947       0.4200000000
       207           100       1.6895599880       0.4300000000
       208           100       1.6898189574       0.3800000000
       209           100       1.6894272642       0.3400000000
       210           100       1.6890857527       0.3400000000
       211           100       1.6897567015       0.5000000000
       212           100       1.6894865171       0.3200000000
       213           100       1.6899615417       0.4100000000
       214           100       1.6901067990       0.4200000000
       215           100       1.6894614683       0.4300000000
       216           100       1.6899938121       0.4000000000
       217           100       1.6895552304       0.3600000000
       218           100       1.6896174185       0.3600000000
       219           100       1.6897745280       0.4100000000
       220           100       1.6896432905       0.4000000000
       221           100       1.6902033117       0.4200000000
       222           100       1.6905322575       0.3900000000
       223           100       1.6890747531       0.4000000000
       224           100       1.6890785875       0.3700000000
       225           100       1.6894362361       0.3500000000
       226           100       1.6901303256       0.4200000000
       227           100       1.6899221551       0.4200000000
       228           100       1.6899725958       0.3600000000
       229           100       1.6902231541       0.4700000000
       230           100       1.6903678778       0.3600000000
       231           100       1.6904061372       0.3500000000
       232           100       1.6892484939       0.3800000000
       233           100       1.6895061937       0.2900000000
       234           100       1.6895704057       0.3700000000
       235           100       1.6895876564       0.3900000000
       236           100       1.6898555013       0.3900000000
       237           100       1.6897301090       0.3000000000
       238           100       1.6897717754       0.3400000000
       239           100       1.6895100672       0.3700000000
       240           100       1.6895445211       0.4100000000
       241           100       1.6895275149       0.3300000000
       242           100       1.6893521068       0.3300000000
       243           100       1.6891904759       0.4000000000
       244           100       1.6882735355       0.3100000000
       245           100       1.6890968424       0.4400000000
       246           100       1.6893112190       0.4200000000
       247           100       1.6891627407       0.4900000000
       248           100       1.6894078371       0.4000000000
       249           100       1.6892339369       0.3900000000
       250           100       1.6894333926       0.3600000000
       251           100       1.6893880320       0.3400000000
       252           100       1.6894126994       0.2600000000
       253           100       1.6902247181       0.3300000000
       254           100       1.6896683426       0.3800000000
       255           100       1.6905543382       0.2800000000
       256           100       1.6909268400       0.4100000000
       257           100       1.6897720954       0.3500000000
       258           100       1.6895828098       0.4200000000
       259           100       1.6891881794       0.3400000000
       260           100       1.6898031748       0.3400000000
       261           100       1.6900364694       0.3400000000
       262           100       1.6900311772       0.2800000000
       263           100       1.6896279613       0.3400000000
       264           100       1.6895588197       0.2800000000
       265           100       1.6897171451       0.3200000000
       266           100       1.6896385193       0.3000000000
       267           100       1.6894523385       0.3800000000
       268           100       1.6895650917       0.4300000000
       269           100       1.6896965496       0.3500000000
       270           100       1.6894477653       0.3900000000
       271           100       1.6891547993       0.3400000000
       272           100       1.6892980386       0.3800000000
       273           100       1.6894264986       0.2800000000
       274           100       1.6895979482       0.4400000000
       275           100       1.6894949562       0.3000000000
       276           100       1.6899845293       0.3100000000
       277           100       1.6887748560       0.3400000000
       278           100       1.6891997466       0.4200000000
       279           100       1.6889403664       0.3500000000
       280           100       1.6894029049       0.3900000000
       281           100       1.6883850905       0.4000000000
       282           100       1.6893217425       0.3300000000
       283           100       1.6889020411       0.3400000000
       284           100       1.6888078869       0.3800000000
       285           100       1.6896344645       0.5300000000
       286           100       1.6901594467       0.3900000000
       287           100       1.6898407069       0.4200000000
       288           100       1.6896250597       0.3900000000
       289           100       1.6896551344       0.3600000000
       290           100       1.6891574193       0.3600000000
       291           100       1.6893335233       0.3200000000
       292           100       1.6891156075       0.3900000000
       293           100       1.6895899017       0.3000000000
       294           100       1.6894918300       0.4200000000
       295           100       1.6894701387       0.2700000000
       296           100       1.6889869047       0.3500000000
       297           100       1.6891824471       0.2600000000
       298           100       1.6890350030       0.4000000000
       299           100       1.6888998354       0.4200000000
       300           100       1.6889647598       0.4000000000
       301           100       1.6892144808       0.3300000000
       302           100       1.6894036811       0.4000000000
       303           100       1.6888518136       0.4000000000
       304           100       1.6893068850       0.3200000000
       305           100       1.6893492747       0.4100000000
       306           100       1.6891937228       0.3200000000
       307           100       1.6890451683       0.4100000000
       308           100       1.6890959487       0.2900000000
       309           100       1.6889143513       0.3800000000
       310           100       1.6891207910       0.2600000000
       311           100       1.6889108409       0.3100000000
       312           100       1.6893318199       0.4200000000
       313           100       1.6891688085       0.4000000000
       314           100       1.6885312334       0.3400000000
       315           100       1.6885206632       0.4100000000
       316           100       1.6888306088       0.4500000000
       317           100       1.6888252429       0.4800000000
       318           100       1.6891409454       0.4200000000
       319           100       1.6889648161       0.3400000000
       320           100       1.6891340868       0.3100000000
       321           100       1.6885957991       0.4100000000
       322           100       1.6890991621       0.4900000000
       323           100       1.6889994349       0.4500000000
       324           100       1.6890716996       0.3400000000
       325           100       1.6891015922       0.4100000000
       326           100       1.6893023552       0.3500000000
       327           100       1.6892243153       0.3900000000
       328           100       1.6891905176       0.3000000000
       329           100       1.6891856019       0.3800000000
       330           100       1.6888712231       0.4000000000
       331           100       1.6886650269       0.3800000000
       332           100       1.6884042073       0.3300000000
       333           100       1.6886297303       0.3600000000
       334           100       1.6886797679       0.2900000000
       335           100       1.6887268863       0.3500000000
       336           100       1.6887932943       0.3000000000
       337           100       1.6887769089       0.3500000000
       338           100       1.6891829264       0.3200000000
       339           100       1.6888664530       0.3900000000
       340           100       1.6890484916       0.3500000000
       341           100       1.6885599608       0.4200000000
       342           100       1.6886231426       0.3000000000
       343           100       1.6880213407       0.3600000000
       344           100       1.6887899082       0.3600000000
       345           100       1.6879209270       0.2800000000
       346           100       1.6891711748       0.3200000000
       347           100       1.6890387636       0.3300000000
       348           100       1.6891102175       0.3300000000
       349           100       1.6891313524       0.3100000000
