 r                      rho(r)
   0.1000000000       0.0016191185       0.0176642436
   0.2043478261       0.0118413871       0.0956204742
   0.3086956522       0.0308341920       0.1727895050
   0.4130434783       0.0551320350       0.2355492981
   0.5173913043       0.0803034790       0.2859960315
   0.6217391304       0.1018281118       0.3228866745
   0.7260869565       0.1160115575       0.3450337877
   0.8304347826       0.1205841526       0.3518667474
   0.9347826087       0.1154144792       0.3441114022
   1.0391304348       0.1022055231       0.3234581331
   1.1434782609       0.0839416863       0.2924893360
   1.2478260870       0.0640350631       0.2544379415
   1.3521739130       0.0454766899       0.2127897920
   1.4565217391       0.0301170731       0.1702607242
   1.5608695652       0.0186137963       0.1283768853
   1.6652173913       0.0107596870       0.0889052316
   1.7695652174       0.0058372986       0.0553897885
   1.8739130435       0.0029647908       0.0308057877
   1.9782608696       0.0014107134       0.0154454228
   2.0826086957       0.0006336925       0.0071308181
   2.1869565217       0.0002682360       0.0030562151
   2.2913043478       0.0001058407       0.0012130460
   2.3956521739       0.0000398433       0.0004576276
   2.5000000000       0.0000145046       0.0001667580
