 r                      rho(r)
   0.1000000000       0.0016235377       0.0181471646
   0.1500000000       0.0037891145       0.0394185404
   0.2000000000       0.0072125996       0.0675313279
   0.2500000000       0.0115472343       0.0960445092
   0.3000000000       0.0166103361       0.1226079107
   0.3500000000       0.0221947979       0.1465151347
   0.4000000000       0.0280464595       0.1676987008
   0.4500000000       0.0338891375       0.1862243874
   0.5000000000       0.0395207602       0.2023295577
   0.5500000000       0.0447425856       0.2161303995
   0.6000000000       0.0492947516       0.2274552752
   0.6500000000       0.0529679105       0.2361584708
   0.7000000000       0.0556500350       0.2423193761
   0.7500000000       0.0572887888       0.2459980970
   0.8000000000       0.0578099863       0.2471605062
   0.8500000000       0.0572668246       0.2459417683
   0.9000000000       0.0556873785       0.2423924036
   0.9500000000       0.0531856029       0.2366464786
   1.0000000000       0.0498847160       0.2288304008
   1.0500000000       0.0459831737       0.2192377517
   1.1000000000       0.0417105396       0.2081883335
   1.1500000000       0.0371805799       0.1957300394
   1.2000000000       0.0326107875       0.1822460862
   1.2500000000       0.0281308410       0.1678479386
   1.3000000000       0.0238645509       0.1527389666
   1.3500000000       0.0199252803       0.1371247237
   1.4000000000       0.0163627998       0.1211970771
   1.4500000000       0.0132411097       0.1053259563
   1.5000000000       0.0105386150       0.0896899115
   1.5500000000       0.0082615969       0.0747960760
   1.6000000000       0.0063728169       0.0609431843
   1.6500000000       0.0048528525       0.0485947369
   1.7000000000       0.0036319446       0.0377966157
   1.7500000000       0.0026824761       0.0288079431
   1.8000000000       0.0019514776       0.0214794658
   1.8500000000       0.0014000215       0.0157012976
   1.9000000000       0.0009899830       0.0112633551
   1.9500000000       0.0006923798       0.0079609119
   2.0000000000       0.0004754031       0.0055100953
   2.0500000000       0.0003207609       0.0037371699
   2.1000000000       0.0002153456       0.0025178809
   2.1500000000       0.0001422213       0.0016677507
   2.2000000000       0.0000916018       0.0010761235
   2.2500000000       0.0000591979       0.0006961979
   2.3000000000       0.0000378936       0.0004458126
   2.3500000000       0.0000239113       0.0002815445
   2.4000000000       0.0000148406       0.0001747585
   2.4500000000       0.0000088012       0.0001036211
   2.5000000000       0.0000054105       0.0000637111
