 r                      rho(r)
   0.1250000000       0.0031495353       0.0334818339
   0.1744791667       0.0052984314       0.0525539074
   0.2239583333       0.0091246206       0.0809558521
   0.2734375000       0.0137420605       0.1083198057
   0.3229166667       0.0189775686       0.1333641488
   0.3723958333       0.0245778825       0.1556044468
   0.4218750000       0.0303186049       0.1752396247
   0.4713541667       0.0360031109       0.1925274190
   0.5208333333       0.0413793438       0.2074492667
   0.5703125000       0.0461925342       0.2198956031
   0.6197916667       0.0503058825       0.2299766367
   0.6692708333       0.0535575715       0.2376252753
   0.7187500000       0.0558115809       0.2427839604
   0.7682291667       0.0570015667       0.2454583317
   0.8177083333       0.0571047558       0.2456835469
   0.8671875000       0.0562108021       0.2436695335
   0.9166666667       0.0543418214       0.2394190631
   0.9661458333       0.0516258092       0.2330912881
   1.0156250000       0.0482039424       0.2248513358
   1.0651041667       0.0442678172       0.2149611697
   1.1145833333       0.0399738965       0.2035948155
   1.1640625000       0.0355274185       0.1910366813
   1.2135416667       0.0310164153       0.1773331786
   1.2630208333       0.0266623429       0.1629148798
   1.3125000000       0.0225625779       0.1478314005
   1.3619791667       0.0187770369       0.1322563251
   1.4114583333       0.0153999935       0.1165494603
   1.4609375000       0.0124473554       0.1009802359
   1.5104166667       0.0099101646       0.0858079373
   1.5598958333       0.0077783285       0.0714120450
   1.6093750000       0.0060092608       0.0581015697
   1.6588541667       0.0045769703       0.0462548761
   1.7083333333       0.0034307736       0.0359662289
   1.7578125000       0.0025402208       0.0274338221
   1.8072916667       0.0018563196       0.0205081441
   1.8567708333       0.0013396310       0.0150658400
   1.9062500000       0.0009538085       0.0108721097
   1.9557291667       0.0006678788       0.0076902976
   2.0052083333       0.0004618840       0.0053566389
   2.0546875000       0.0003143010       0.0036631417
   2.1041666667       0.0002112836       0.0024713457
   2.1536458333       0.0001395313       0.0016359545
   2.2031250000       0.0000899348       0.0010560249
   2.2526041667       0.0000580474       0.0006824367
   2.3020833333       0.0000374037       0.0004401595
   2.3515625000       0.0000236002       0.0002779275
   2.4010416667       0.0000149986       0.0001767570
   2.4505208333       0.0000095625       0.0001126708
   2.5000000000       0.0000056564       0.0000666665
