 r                      rho(r)
   0.1000000000       0.0016147759       0.0424955897
   0.2043478261       0.0118010464       0.1500621725
   0.3086956522       0.0307591678       0.2513768483
   0.4130434783       0.0550915940       0.3254721127
   0.5173913043       0.0802324319       0.3700354257
   0.6217391304       0.1016953957       0.3890675446
   0.7260869565       0.1157233791       0.3854705839
   0.8304347826       0.1201568945       0.3606609301
   0.9347826087       0.1151028806       0.3173836019
   1.0391304348       0.1019347332       0.2599599757
   1.1434782609       0.0837846973       0.1974121802
   1.2478260870       0.0640901555       0.1391334369
   1.3521739130       0.0456191676       0.0911998654
   1.4565217391       0.0304105673       0.0561398426
   1.5608695652       0.0189740441       0.0325091081
   1.6652173913       0.0110830100       0.0177233143
   1.7695652174       0.0060825352       0.0091276483
   1.8739130435       0.0031402983       0.0044419725
   1.9782608696       0.0015234276       0.0020376836
   2.0826086957       0.0006975703       0.0008849337
   2.1869565217       0.0002943995       0.0003554106
   2.2913043478       0.0001175300       0.0001354703
   2.3956521739       0.0000461513       0.0000509694
   2.5000000000       0.0000173973       0.0000183673
