 r                      rho(r)
   0.0250000000       0.0000252523       0.0003128741
   0.0502551020       0.0001810402       0.0022320784
   0.0755102041       0.0004927753       0.0060096966
   0.1007653061       0.0009529501       0.0114458619
   0.1260204082       0.0015656135       0.0184151096
   0.1512755102       0.0023114887       0.0265143341
   0.1765306122       0.0031870904       0.0355115635
   0.2017857143       0.0041879272       0.0451657979
   0.2270408163       0.0052973666       0.0551953298
   0.2522959184       0.0065130580       0.0653986156
   0.2775510204       0.0078159884       0.0755394864
   0.3028061224       0.0091998772       0.0855264805
   0.3280612245       0.0106285739       0.0951028299
   0.3533163265       0.0121017721       0.1042827793
   0.3785714286       0.0135975097       0.1129399090
   0.4038265306       0.0151055698       0.1211570031
   0.4290816327       0.0165896250       0.1287393245
   0.4543367347       0.0180759020       0.1359145481
   0.4795918367       0.0195038462       0.1424775574
   0.5048469388       0.0208804428       0.1484962009
   0.5301020408       0.0222188213       0.1541127470
   0.5553571429       0.0234437469       0.1590764891
   0.5806122449       0.0245865397       0.1635386627
   0.6058673469       0.0256144282       0.1674585962
   0.6311224490       0.0265310151       0.1708524208
   0.6563775510       0.0273171792       0.1737213924
   0.6816326531       0.0279773167       0.1760739448
   0.7068877551       0.0284980878       0.1779040593
   0.7321428571       0.0288884900       0.1792774683
   0.7573979592       0.0291058530       0.1800207638
   0.7826530612       0.0292050251       0.1803736947
   0.8079081633       0.0291563312       0.1802058897
   0.8331632653       0.0289736701       0.1795610186
   0.8584183673       0.0286394608       0.1784025207
   0.8836734694       0.0281982200       0.1768466861
   0.9089285714       0.0276347406       0.1748416487
   0.9341836735       0.0269516819       0.1723648380
   0.9594387755       0.0261804038       0.1695490877
   0.9846938776       0.0253245787       0.1663209436
   1.0099489796       0.0243625221       0.1626341999
   1.0352040816       0.0233502631       0.1586458982
   1.0604591837       0.0222856000       0.1543390326
   1.0857142857       0.0211706876       0.1496804006
   1.1109693878       0.0200253394       0.1447163793
   1.1362244898       0.0188708350       0.1395172290
   1.1614795918       0.0176981572       0.1340353168
   1.1867346939       0.0165429594       0.1284209409
   1.2119897959       0.0153726870       0.1224560189
   1.2372448980       0.0142400707       0.1163966908
   1.2625000000       0.0131348313       0.1102085184
   1.2877551020       0.0120678455       0.1039473140
   1.3130102041       0.0110249731       0.0974967105
   1.3382653061       0.0100441555       0.0911614394
   1.3635204082       0.0091164588       0.0848274198
   1.3887755102       0.0082373047       0.0785276205
   1.4140306122       0.0074119280       0.0723456977
   1.4392857143       0.0066437641       0.0663216872
   1.4645408163       0.0059303120       0.0604630438
   1.4897959184       0.0052747222       0.0548721754
   1.5150510204       0.0046792640       0.0495866725
   1.5403061224       0.0041254836       0.0444978282
   1.5655612245       0.0036313077       0.0397814000
   1.5908163265       0.0031835113       0.0353963341
   1.6160714286       0.0027747018       0.0312673019
   1.6413265306       0.0024108694       0.0274925651
   1.6665816327       0.0020873036       0.0240610426
   1.6918367347       0.0018009809       0.0209561696
   1.7170918367       0.0015487709       0.0181860007
   1.7423469388       0.0013310717       0.0157511213
   1.7676020408       0.0011343517       0.0135117682
   1.7928571429       0.0009640436       0.0115513335
   1.8181122449       0.0008190447       0.0098645936
   1.8433673469       0.0006914056       0.0083641814
   1.8686224490       0.0005818430       0.0070648224
   1.8938775510       0.0004898711       0.0059666741
   1.9191326531       0.0004090745       0.0049971486
   1.9443877551       0.0003418037       0.0041849411
   1.9696428571       0.0002834553       0.0034769929
   1.9948979592       0.0002340333       0.0028754259
   2.0201530612       0.0001937069       0.0023842995
   2.0454081633       0.0001588901       0.0019586806
   2.0706632653       0.0001303103       0.0016077591
   2.0959183673       0.0001053018       0.0013000520
   2.1211734694       0.0000848940       0.0010489296
   2.1464285714       0.0000693064       0.0008566960
   2.1716836735       0.0000563569       0.0006968794
   2.1969387755       0.0000450066       0.0005568687
   2.2221938776       0.0000362442       0.0004484502
   2.2474489796       0.0000288950       0.0003577539
   2.2727040816       0.0000227140       0.0002811705
   2.2979591837       0.0000176415       0.0002185641
   2.3232142857       0.0000140275       0.0001737977
   2.3484693878       0.0000112040       0.0001388624
   2.3737244898       0.0000087373       0.0001082525
   2.3989795918       0.0000066562       0.0000824968
   2.4242346939       0.0000053213       0.0000659510
   2.4494897959       0.0000041348       0.0000512830
   2.4747448980       0.0000032259       0.0000399741
   2.5000000000       0.0000025865       0.0000320571
