 r                      rho(r)
   0.1250000000       0.0031388163       0.0757976406
   0.1938775510       0.0083559602       0.1293159398
   0.2627551020       0.0163531409       0.1847572206
   0.3316326531       0.0262463522       0.2321165835
   0.4005102041       0.0371413951       0.2691098153
   0.4693877551       0.0482564069       0.2961783977
   0.5382653061       0.0586990024       0.3134583346
   0.6071428571       0.0675605331       0.3209705277
   0.6760204082       0.0742785742       0.3196861951
   0.7448979592       0.0783529799       0.3098863480
   0.8137755102       0.0794235278       0.2917772183
   0.8826530612       0.0778198804       0.2674114770
   0.9515306122       0.0736930401       0.2378617931
   1.0204081633       0.0674332346       0.2048764436
   1.0892857143       0.0598270667       0.1712348776
   1.1581632653       0.0514057328       0.1386685560
   1.2270408163       0.0427832622       0.1088403499
   1.2959183673       0.0344580065       0.0827732279
   1.3647959184       0.0269608974       0.0612661218
   1.4336734694       0.0204504182       0.0440550714
   1.5025510204       0.0150757377       0.0308678710
   1.5714285714       0.0108173807       0.0211092506
   1.6403061224       0.0075405164       0.0140623884
   1.7091836735       0.0051041196       0.0091171924
   1.7780612245       0.0033652800       0.0057704414
   1.8469387755       0.0021565447       0.0035557679
   1.9158163265       0.0013476925       0.0021417368
   1.9846938776       0.0008288469       0.0012711993
   2.0535714286       0.0004899566       0.0007257613
   2.1224489796       0.0002882241       0.0004129443
   2.1913265306       0.0001602196       0.0002223575
   2.2602040816       0.0000887654       0.0001194273
   2.3290816327       0.0000476547       0.0000621374
   2.3979591837       0.0000261615       0.0000330903
   2.4668367347       0.0000133703       0.0000164019
   2.5357142857       0.0000061958       0.0000073812
   2.6045918367       0.0000028355       0.0000032854
   2.6734693878       0.0000012765       0.0000014293
   2.7423469388       0.0000005470       0.0000005995
   2.8112244898       0.0000001711       0.0000001823
   2.8801020408       0.0000001042       0.0000001079
   2.9489795918       0.0000000633       0.0000000618
   3.0178571429       0.0000000186       0.0000000168
   3.0867346939       0.0000000186       0.0000000164
   3.1556122449       0.0000000484       0.0000000406
   3.2244897959       0.0000000223       0.0000000183
   3.2933673469       0.0000000000       0.0000000000
   3.3622448980       0.0000000000       0.0000000000
   3.4311224490       0.0000000000       0.0000000000
   3.5000000000       0.0000000000       0.0000000000
