 r                      rho(r)
   0.0500000000       0.0002035912       0.0023814029
   0.1010416667       0.0014596576       0.0163763109
   0.1520833333       0.0039442799       0.0407818153
   0.2031250000       0.0075534613       0.0699476288
   0.2541666667       0.0121100364       0.0991971974
   0.3052083333       0.0174374184       0.1263449008
   0.3562500000       0.0232846972       0.1505921861
   0.4072916667       0.0293601197       0.1719065040
   0.4583333333       0.0354478485       0.1906545905
   0.5093750000       0.0412897669       0.2069403919
   0.5604166667       0.0465902063       0.2206035367
   0.6114583333       0.0511775459       0.2317501469
   0.6625000000       0.0548170764       0.2402088811
   0.7135416667       0.0573881690       0.2460013449
   0.7645833333       0.0588141663       0.2491525839
   0.8156250000       0.0590217847       0.2496050297
   0.8666666667       0.0580672437       0.2475006172
   0.9177083333       0.0560999907       0.2430968238
   0.9687500000       0.0532239595       0.2365220918
   1.0197916667       0.0495703956       0.2278733302
   1.0708333333       0.0452991342       0.2173129424
   1.1218750000       0.0406730456       0.2052165876
   1.1729166667       0.0358872204       0.1918415202
   1.2239583333       0.0311109884       0.1774074352
   1.2750000000       0.0265377861       0.1622211620
   1.3260416667       0.0222336599       0.1463385802
   1.3770833333       0.0183412299       0.1301474831
   1.4281250000       0.0148648532       0.1137342347
   1.4791666667       0.0118621945       0.0975147728
   1.5302083333       0.0093073879       0.0817836278
   1.5812500000       0.0071812215       0.0669984591
   1.6322916667       0.0054677829       0.0536963119
   1.6833333333       0.0040943129       0.0419741496
   1.7343750000       0.0030219549       0.0320581143
   1.7854166667       0.0021999256       0.0239826982
   1.8364583333       0.0015794782       0.0175839447
   1.8875000000       0.0011134338       0.0125990633
   1.9385416667       0.0007763959       0.0088888279
   1.9895833333       0.0005355040       0.0061825866
   2.0406250000       0.0003636103       0.0042244727
   2.0916666667       0.0002436943       0.0028428646
   2.1427083333       0.0001611438       0.0018846047
   2.1937500000       0.0001056348       0.0012383693
   2.2447916667       0.0000679400       0.0007976665
   2.2958333333       0.0000421774       0.0004955522
   2.3468750000       0.0000261238       0.0003069643
   2.3979166667       0.0000163397       0.0001921246
   2.4489583333       0.0000100214       0.0001178538
   2.5000000000       0.0000060748       0.0000714435
