 r                      rho(r)
   0.1500000000       0.0053951045       0.1083653218
   0.2183673469       0.0108881655       0.1493738295
   0.2867346939       0.0194923007       0.2013998192
   0.3551020408       0.0296578396       0.2445824700
   0.4234693878       0.0405735622       0.2779133232
   0.4918367347       0.0513870633       0.3013844740
   0.5602040816       0.0612340528       0.3152298379
   0.6285714286       0.0693675935       0.3199084857
   0.6969387755       0.0752424707       0.3160398007
   0.7653061224       0.0784250409       0.3039349901
   0.8336734694       0.0787867198       0.2843918368
   0.9020408163       0.0764538139       0.2586165489
   0.9704081633       0.0717893753       0.2283570240
   1.0387755102       0.0651633862       0.1952461388
   1.1071428571       0.0572709407       0.1617428397
   1.1755102041       0.0487982741       0.1299475758
   1.2438775510       0.0403535068       0.1014118488
   1.3122448980       0.0323338140       0.0767811634
   1.3806122449       0.0251213587       0.0564784052
   1.4489795918       0.0189766413       0.0404865616
   1.5173469388       0.0139148235       0.0282438874
   1.5857142857       0.0099218899       0.0192092376
   1.6540816327       0.0068861465       0.0127485226
   1.7224489796       0.0046375978       0.0082301341
   1.7908163265       0.0030421370       0.0051861171
   1.8591836735       0.0019456240       0.0031916942
   1.9275510204       0.0012120621       0.0019163124
   1.9959183673       0.0007355739       0.0011225115
   2.0642857143       0.0004353439       0.0006422957
   2.1326530612       0.0002512267       0.0003587612
   2.2010204082       0.0001422593       0.0001969134
   2.2693877551       0.0000783431       0.0001052444
   2.3377551020       0.0000425535       0.0000554898
   2.4061224490       0.0000215670       0.0000273596
   2.4744897959       0.0000108380       0.0000133625
   2.5428571429       0.0000056494       0.0000067639
   2.6112244898       0.0000029173       0.0000034061
   2.6795918367       0.0000013311       0.0000015083
   2.7479591837       0.0000006461       0.0000007182
   2.8163265306       0.0000002917       0.0000003202
   2.8846938776       0.0000000990       0.0000001075
   2.9530612245       0.0000000339       0.0000000361
   3.0214285714       0.0000000208       0.0000000223
   3.0897959184       0.0000000000       0.0000000000
   3.1581632653       0.0000000000       0.0000000000
   3.2265306122       0.0000000000       0.0000000000
   3.2948979592       0.0000000000       0.0000000000
   3.3632653061       0.0000000000       0.0000000000
   3.4316326531       0.0000000000       0.0000000000
   3.5000000000       0.0000000000       0.0000000000
