 Step       Num walks        Ene     acc_prob
       147           123       1.5220648013       0.8455284553
       148           123       1.5220499802       0.7804878049
       149           121       1.5218701348       0.7804878049
       150           121       1.5218467544       0.8347107438
       151           121       1.5217352809       0.8925619835
       152           121       1.5216669411       0.8347107438
       153           121       1.5216487844       0.8760330579
       154           119       1.5216409547       0.8347107438
       155           119       1.5216132810       0.8655462185
       156           119       1.5216723200       0.8319327731
       157           119       1.5216220183       0.8403361345
       158           119       1.5215001278       0.8655462185
       159           119       1.5215738741       0.8823529412
       160           119       1.5214106321       0.8823529412
       161           115       1.5211109497       0.8235294118
       162           113       1.5212213681       0.8956521739
       163           113       1.5212917873       0.8141592920
       164           113       1.5211216269       0.8938053097
       165           111       1.5209813701       0.8230088496
       166           111       1.5209402538       0.8018018018
       167           109       1.5208493944       0.8648648649
       168           109       1.5208471871       0.8623853211
       169           109       1.5207505046       0.8807339450
       170           105       1.5207310706       0.8715596330
       171           105       1.5206166813       0.8380952381
       172           105       1.5205882038       0.8952380952
       173           103       1.5205991239       0.8857142857
       174           103       1.5203751686       0.8737864078
       175           103       1.5204748440       0.8834951456
       176           101       1.5203048758       0.8155339806
       177           101       1.5200996799       0.8316831683
       178           101       1.5201529076       0.8415841584
       179           101       1.5200965446       0.8514851485
       180            99       1.5199286849       0.8415841584
       181            99       1.5198650654       0.9393939394
       182            97       1.5198737988       0.8383838384
       183            97       1.5197896980       0.9072164948
       184            97       1.5197455565       0.8762886598
       185            97       1.5197196819       0.8556701031
       186            97       1.5197144710       0.8659793814
       187            95       1.5195449045       0.8144329897
       188            91       1.5193509199       0.8842105263
       189            91       1.5193566192       0.8461538462
       190            91       1.5192850347       0.8681318681
       191            89       1.5195181026       0.8681318681
       192            89       1.5192464208       0.8651685393
       193            89       1.5191252928       0.9101123596
       194            83       1.5192861692       0.8314606742
       195            79       1.5190834817       0.8915662651
       196            77       1.5192236977       0.8481012658
       197            77       1.5191599684       0.8831168831
       198            77       1.5191796693       0.8571428571
       199            75       1.5192813013       0.8961038961
       200            72       1.5190663961       0.8933333333
       201            73       1.5189839478       0.7638888889
       202            73       1.5189241537       0.8356164384
       203            73       1.5187482094       0.8630136986
       204            73       1.5186966390       0.8082191781
       205            73       1.5185097385       0.8493150685
       206            74       1.5184610654       0.8082191781
       207            75       1.5183702146       0.9594594595
       208            75       1.5183782493       0.8533333333
       209            75       1.5182623544       0.8400000000
       210            76       1.5181646746       0.8133333333
       211            77       1.5181101588       0.8157894737
       212            77       1.5182092451       0.8181818182
       213            77       1.5180427211       0.8181818182
       214            78       1.5178660040       0.8701298701
       215            78       1.5178228540       0.8076923077
       216            78       1.5178265357       0.8076923077
       217            78       1.5177526941       0.7948717949
       218            78       1.5176631665       0.8717948718
       219            78       1.5176668690       0.8333333333
       220            79       1.5176115256       0.9230769231
       221            79       1.5176549217       0.9113924051
       222            79       1.5173677686       0.8227848101
       223            79       1.5174185011       0.8481012658
       224            80       1.5173128974       0.9240506329
       225            80       1.5172385130       0.8250000000
       226            80       1.5170774494       0.8875000000
       227            80       1.5171526060       0.8750000000
       228            80       1.5171752227       0.9000000000
       229            81       1.5172175700       0.8875000000
       230            81       1.5172448231       0.8765432099
       231            81       1.5172639232       0.8765432099
       232            81       1.5171995021       0.8641975309
       233            81       1.5171760060       0.8148148148
       234            81       1.5170133593       0.8641975309
       235            81       1.5169514797       0.8888888889
       236            83       1.5169120426       0.8765432099
       237            85       1.5168510651       0.8433734940
       238            85       1.5170117629       0.8588235294
       239            86       1.5168647488       0.7882352941
       240            86       1.5168465342       0.9069767442
       241            86       1.5168498973       0.9069767442
       242            86       1.5168210876       0.9069767442
       243            86       1.5166752638       0.8604651163
       244            87       1.5167509340       0.8372093023
       245            88       1.5168475886       0.8620689655
       246            88       1.5169031269       0.8750000000
       247            88       1.5167350255       0.8409090909
       248            88       1.5166598950       0.8750000000
       249            89       1.5166781669       0.8636363636
       250            89       1.5166403478       0.8089887640
       251            89       1.5166415341       0.8202247191
       252            89       1.5166458609       0.8202247191
       253            89       1.5165786866       0.8764044944
       254            89       1.5164925879       0.8764044944
       255            90       1.5164762969       0.8314606742
       256            91       1.5165091324       0.8777777778
       257            91       1.5165021453       0.8461538462
       258            91       1.5163345359       0.8021978022
       259            92       1.5163016018       0.8791208791
       260            93       1.5162235050       0.8152173913
       261            93       1.5162601651       0.8602150538
       262            94       1.5163192841       0.8172043011
       263            94       1.5163465506       0.8829787234
       264            94       1.5164354441       0.8936170213
       265            94       1.5163130593       0.8936170213
       266            94       1.5161454610       0.8510638298
       267            94       1.5162309872       0.9361702128
       268            94       1.5162544205       0.8617021277
       269            94       1.5162873201       0.9468085106
       270            94       1.5162452401       0.8723404255
       271            94       1.5163269560       0.8404255319
       272            94       1.5163823012       0.8829787234
       273            94       1.5163269280       0.8617021277
       274            94       1.5162757293       0.7978723404
       275            94       1.5160414163       0.8617021277
       276            95       1.5160072490       0.8936170213
       277            96       1.5161017210       0.8631578947
       278            97       1.5161097997       0.9062500000
       279            97       1.5159763111       0.8247422680
       280            97       1.5160714166       0.9072164948
       281            98       1.5158736793       0.9072164948
       282            98       1.5160710929       0.8265306122
       283            98       1.5158625944       0.8673469388
       284            98       1.5158638988       0.9081632653
       285            98       1.5157673649       0.8673469388
       286            98       1.5155847637       0.8571428571
       287            99       1.5155252887       0.8979591837
       288            99       1.5154348990       0.8585858586
       289            99       1.5152780302       0.8282828283
       290           100       1.5153738308       0.8282828283
       291           100       1.5152425364       0.9000000000
       292           100       1.5153273542       0.7900000000
       293           100       1.5152030498       0.8700000000
       294           100       1.5152453706       0.8700000000
       295           100       1.5151444201       0.8300000000
       296           100       1.5151105313       0.9300000000
       297           100       1.5150499854       0.9200000000
       298           102       1.5152388327       0.8600000000
       299           102       1.5151549010       0.8431372549
       300           102       1.5148311515       0.8333333333
       301           102       1.5150408745       0.8137254902
       302           102       1.5150670290       0.8431372549
