 r                      rho(r)
   0.1200000000       0.0028362411      -0.0296297319
   0.2452173913       0.0204313119      -0.1359231522
   0.3704347826       0.0516910300      -0.2270022061
   0.4956521739       0.0883900192      -0.2993572096
   0.6208695652       0.1209004522      -0.3511255743
   0.7460869565       0.1410809069      -0.3797098074
   0.8713043478       0.1444194315      -0.3842239325
   0.9965217391       0.1314931124      -0.3663791741
   1.1217391304       0.1071694859      -0.3301860250
   1.2469565217       0.0784399652      -0.2814848066
   1.3721739130       0.0517072667      -0.2268470403
   1.4973913043       0.0307864369      -0.1717394051
   1.6226086957       0.0165923496      -0.1189483574
   1.7478260870       0.0081265630      -0.0718377275
   1.8730434783       0.0036258425      -0.0367214154
   1.9982608696       0.0014803710      -0.0161056936
   2.1234782609       0.0005549052      -0.0062327741
   2.2486956522       0.0001904853      -0.0021678980
   2.3739130435       0.0000600519      -0.0006863693
   2.4991304348       0.0000175954      -0.0002015412
   2.6243478261       0.0000046086      -0.0000528059
   2.7495652174       0.0000012096      -0.0000138592
   2.8747826087       0.0000002642      -0.0000030270
   3.0000000000       0.0000000766      -0.0000008788
