 r                      rho(r)
   0.1000000000       0.0016181378       0.0176577921
   0.2043478261       0.0118165075       0.0955159165
   0.3086956522       0.0307805065       0.1726143216
   0.4130434783       0.0550226613       0.2353276736
   0.5173913043       0.0801046723       0.2856498735
   0.6217391304       0.1015962955       0.3225242044
   0.7260869565       0.1157121582       0.3446069547
   0.8304347826       0.1203293458       0.3515210705
   0.9347826087       0.1153052092       0.3439722621
   1.0391304348       0.1021512121       0.3233878525
   1.1434782609       0.0839849001       0.2925903864
   1.2478260870       0.0641726941       0.2547380148
   1.3521739130       0.0456985481       0.2133546725
   1.4565217391       0.0303457940       0.1709894865
   1.5608695652       0.0188234659       0.1292883132
   1.6652173913       0.0109369417       0.0899586661
   1.7695652174       0.0059514849       0.0562582965
   1.8739130435       0.0030501872       0.0315998046
   1.9782608696       0.0014644599       0.0160008979
   2.0826086957       0.0006682778       0.0075016238
   2.1869565217       0.0002871813       0.0032693998
   2.2913043478       0.0001135753       0.0013010577
   2.3956521739       0.0000432679       0.0004968416
   2.5000000000       0.0000148017       0.0001702112
