 Cycle        E        err_E       a_r
         1         1.68978068         0.00001431         0.53893100
         2         1.68918931         0.00000644         0.53808700
         3         1.68909090         0.00000435         0.53738300
         4         1.68908042         0.00000840         0.53761800
         5         1.68922271         0.00000798         0.53886000
         6         1.68905181         0.00000825         0.53729300
         7         1.68907903         0.00000752         0.53838500
         8         1.68909240         0.00001233         0.53775800
         9         1.68913386         0.00000884         0.53878400
        10         1.68905903         0.00000841         0.53740200
        11         1.68894083         0.00000925         0.53889400
        12         1.68915250         0.00001077         0.53824500
        13         1.68910028         0.00000894         0.53925700
        14         1.68890195         0.00000738         0.53844800
        15         1.68919716         0.00001065         0.53851400
        16         1.68926755         0.00001149         0.53891600
        17         1.68924934         0.00000846         0.53724200
        18         1.68928059         0.00000814         0.53862200
        19         1.68918671         0.00000733         0.53902000
        20         1.68935774         0.00001008         0.53867600
