 Cycle        E        err_E       a_r
         1         1.69013695         0.00001924         0.53593700
         2         1.68984051         0.00000524         0.53617800
         3         1.68988063         0.00001377         0.53622000
         4         1.68996935         0.00001335         0.53614200
         5         1.68976397         0.00001056         0.53644200
         6         1.68994865         0.00001286         0.53547400
         7         1.68999290         0.00000969         0.53498800
         8         1.68999733         0.00001832         0.53673800
         9         1.68986958         0.00000491         0.53600100
        10         1.68986928         0.00001203         0.53609300
        11         1.68975929         0.00000814         0.53479000
        12         1.69010820         0.00001054         0.53605500
        13         1.68977533         0.00001046         0.53666700
        14         1.68985823         0.00001314         0.53605900
        15         1.68995246         0.00001153         0.53557800
        16         1.68978505         0.00001287         0.53451100
        17         1.68963992         0.00001261         0.53623200
        18         1.68969599         0.00001128         0.53524500
        19         1.68968195         0.00000758         0.53576300
        20         1.68973928         0.00001472         0.53571200
