 Cycle        E        err_E       a_r
         1         1.67938654         0.00035348         0.57047500
         2         1.69423504         0.00006757         0.56543750
         3         1.69724185         0.00011255         0.56368750
         4         1.69887291         0.00010664         0.56256250
         5         1.69717120         0.00010522         0.56591250
         6         1.69720132         0.00009882         0.56570000
         7         1.69831225         0.00006734         0.56842500
         8         1.69814688         0.00005473         0.56590000
         9         1.69881662         0.00007532         0.56208750
        10         1.69828824         0.00006067         0.56396250
        11         1.69763367         0.00009141         0.56606250
        12         1.69740330         0.00006034         0.56586250
        13         1.69775554         0.00008200         0.56180000
        14         1.69769074         0.00009751         0.56263750
        15         1.69914522         0.00009935         0.56567500
        16         1.69743446         0.00007967         0.56462500
        17         1.69990769         0.00010669         0.56685000
        18         1.69990751         0.00012748         0.56402500
        19         1.69697993         0.00007034         0.56143750
        20         1.69659283         0.00011527         0.56581250
