 Cycle        E        err_E       a_r
         1         1.68186892         0.00016022         0.56072500
         2         1.68869715         0.00005098         0.56047500
         3         1.69088287         0.00004730         0.55832500
         4         1.69191565         0.00005776         0.55585000
         5         1.69227014         0.00005548         0.55945000
         6         1.69356377         0.00006031         0.56063750
         7         1.69351609         0.00004969         0.55892500
         8         1.69204577         0.00005341         0.55826250
         9         1.69420095         0.00004226         0.55597500
        10         1.69419817         0.00007643         0.55777500
        11         1.69152770         0.00004319         0.55823750
        12         1.69246278         0.00006055         0.55750000
        13         1.69259228         0.00008242         0.55523750
        14         1.69309650         0.00005154         0.55592500
        15         1.69235591         0.00005955         0.56103750
        16         1.69145531         0.00005008         0.56012500
        17         1.69157870         0.00007098         0.56097500
        18         1.69257044         0.00006456         0.56220000
        19         1.69203057         0.00006092         0.55976250
        20         1.69226918         0.00005149         0.56121250
