 Cycle        E        err_E       a_r
         1         1.69519764         0.00007386         0.52851250
         2         1.69338078         0.00006523         0.53283750
         3         1.69354067         0.00004525         0.53161250
         4         1.69371540         0.00006517         0.53087500
         5         1.69291105         0.00003495         0.53342500
         6         1.69289228         0.00004227         0.53486250
         7         1.69404259         0.00006894         0.53221250
         8         1.69335319         0.00007668         0.53200000
         9         1.69289232         0.00003276         0.53233750
        10         1.69310710         0.00004955         0.53257500
        11         1.69444559         0.00003088         0.53362500
        12         1.69333929         0.00005392         0.53336250
        13         1.69375182         0.00007295         0.52898750
        14         1.69218049         0.00003008         0.53467500
        15         1.69344499         0.00007049         0.53013750
        16         1.69324598         0.00007131         0.52841250
        17         1.69304019         0.00006602         0.53413750
        18         1.69278490         0.00003921         0.52995000
        19         1.69444491         0.00004186         0.53488750
        20         1.69440215         0.00005863         0.53216250
