 Cycle        E        err_E       a_r
         1         1.68795099         0.00001190         0.54761250
         2         1.68815101         0.00000816         0.54432500
         3         1.68823024         0.00000627         0.54451250
         4         1.68825528         0.00000995         0.54416250
         5         1.68831787         0.00001701         0.54335000
         6         1.68831468         0.00001092         0.54298750
         7         1.68842343         0.00000626         0.54358750
         8         1.68838775         0.00001389         0.54503750
         9         1.68826763         0.00001025         0.54506250
        10         1.68845272         0.00004178         0.54452500
        11         1.68857737         0.00002127         0.54515000
        12         1.68836589         0.00000686         0.54587500
        13         1.68842023         0.00001412         0.54835000
        14         1.68828236         0.00001389         0.54593750
        15         1.68832459         0.00001175         0.54288750
        16         1.68829490         0.00001104         0.54362500
        17         1.68844923         0.00000976         0.54615000
        18         1.68829194         0.00001050         0.54446250
        19         1.68819429         0.00001328         0.54357500
        20         1.68824810         0.00001301         0.54418750
