 Cycle        E        err_E       a_r
         1         1.68819743         0.00000437         0.54615700
         2         1.68831172         0.00000413         0.54528800
         3         1.68833009         0.00000555         0.54525400
         4         1.68830681         0.00000242         0.54417900
         5         1.68831627         0.00000173         0.54459700
         6         1.68833317         0.00000772         0.54462000
         7         1.68834392         0.00000418         0.54411500
         8         1.68831309         0.00000332         0.54420200
         9         1.68829362         0.00000207         0.54520200
        10         1.68828734         0.00000292         0.54440600
        11         1.68834829         0.00000397         0.54554800
        12         1.68827649         0.00000385         0.54516600
        13         1.68853195         0.00000658         0.54378100
        14         1.68836925         0.00000447         0.54376600
        15         1.68835855         0.00000192         0.54506900
        16         1.68828312         0.00000390         0.54401600
        17         1.68835449         0.00000248         0.54403300
        18         1.68836662         0.00000408         0.54484800
        19         1.68827859         0.00000340         0.54503500
        20         1.68826060         0.00000407         0.54538500
