 Cycle        E        err_E       a_r
         1         1.66741198         0.00172360         0.61785000
         2         1.74138955         0.00045001         0.60455000
         3         1.75626858         0.00031648         0.59997500
         4         1.75800728         0.00030996         0.60170000
         5         1.76313338         0.00030108         0.60405000
         6         1.76513086         0.00033841         0.60445000
         7         1.76432908         0.00032899         0.60077500
         8         1.77270457         0.00034396         0.60167500
         9         1.77468620         0.00055884         0.60132500
        10         1.76191382         0.00028782         0.60262500
        11         1.76692837         0.00035322         0.60095000
        12         1.76711139         0.00019573         0.60417500
        13         1.76565901         0.00030458         0.60457500
        14         1.77143110         0.00036047         0.60157500
        15         1.76422761         0.00034628         0.60032500
        16         1.76557122         0.00044779         0.60442500
        17         1.76041245         0.00040692         0.60372500
        18         1.76710053         0.00032126         0.60330000
        19         1.76484996         0.00031670         0.60335000
        20         1.76518083         0.00042702         0.60327500
