 Cycle        E        err_E       a_r
         1         1.70324472         0.00469120         0.66772500
         2         1.90304620         0.00075556         0.64715000
         3         1.92727983         0.00067794         0.64852500
         4         1.95068074         0.00088327         0.64610000
         5         1.96823643         0.00062556         0.64535000
         6         1.96665450         0.00059643         0.64625000
         7         1.96159187         0.00042482         0.64087500
         8         1.95727912         0.00063208         0.64380000
         9         1.96107351         0.00058511         0.64382500
        10         1.96345131         0.00049580         0.64760000
        11         1.94734435         0.00079238         0.64487500
        12         1.95512707         0.00061282         0.64882500
        13         1.96088353         0.00039246         0.64342500
        14         1.95673943         0.00073439         0.64525000
        15         1.96325930         0.00089622         0.64687500
        16         1.95436252         0.00056766         0.64697500
        17         1.95340655         0.00037250         0.64532500
        18         1.95005283         0.00059611         0.64447500
        19         1.95770902         0.00064251         0.64760000
        20         1.94822764         0.00041742         0.64795000
