 Cycle        E        err_E       a_r
         1         1.67639954         0.00054022         0.57672500
         2         1.69719337         0.00010274         0.56930000
         3         1.69929746         0.00008946         0.57107500
         4         1.70251283         0.00008260         0.56761250
         5         1.70517040         0.00012326         0.57008750
         6         1.70494315         0.00006877         0.56946250
         7         1.70465580         0.00013648         0.56855000
         8         1.70143259         0.00012823         0.57210000
         9         1.70435781         0.00012640         0.57025000
        10         1.70460624         0.00011440         0.56782500
        11         1.70596821         0.00011177         0.56952500
        12         1.70388859         0.00012224         0.56696250
        13         1.70220426         0.00008644         0.57001250
        14         1.70268645         0.00012216         0.56885000
        15         1.70485687         0.00013088         0.56768750
        16         1.70586371         0.00009025         0.57153750
        17         1.70443416         0.00006124         0.56735000
        18         1.70393535         0.00008579         0.56720000
        19         1.70398942         0.00006945         0.56956250
        20         1.70621046         0.00006954         0.56943750
