 Cycle        E        err_E       a_r
         1         1.67647018         0.00047179         0.57940000
         2         1.69883219         0.00013068         0.57090000
         3         1.70114885         0.00019551         0.57107500
         4         1.70381942         0.00016379         0.56757500
         5         1.70489986         0.00016054         0.56797500
         6         1.70311579         0.00015196         0.56737500
         7         1.70069082         0.00010514         0.57137500
         8         1.70066701         0.00010533         0.57397500
         9         1.69772377         0.00018193         0.56537500
        10         1.70172420         0.00015553         0.57155000
        11         1.70495812         0.00008001         0.56772500
        12         1.70333502         0.00010241         0.57032500
        13         1.70117284         0.00021362         0.56650000
        14         1.70403172         0.00012612         0.57072500
        15         1.70392958         0.00010939         0.57517500
        16         1.70167196         0.00016011         0.57162500
        17         1.70365978         0.00009488         0.56807500
        18         1.70545213         0.00021893         0.56977500
        19         1.70599727         0.00012796         0.57055000
        20         1.70100977         0.00012251         0.56667500
