 Cycle        E        err_E       a_r
         1         1.69044253         0.00001324         0.53647700
         2         1.69010362         0.00001450         0.53672500
         3         1.68983294         0.00001231         0.53649900
         4         1.68977090         0.00001506         0.53662000
         5         1.68964806         0.00001760         0.53627000
         6         1.68990053         0.00001371         0.53700200
         7         1.68988361         0.00001517         0.53639300
         8         1.69013763         0.00001175         0.53539900
         9         1.68986830         0.00001270         0.53694400
        10         1.68984102         0.00001653         0.53631700
        11         1.69017251         0.00001103         0.53630400
        12         1.68983516         0.00001497         0.53692200
        13         1.69019876         0.00000921         0.53703200
        14         1.68980066         0.00001429         0.53554800
        15         1.68996761         0.00002232         0.53574700
        16         1.68984927         0.00000832         0.53642100
        17         1.68998614         0.00001258         0.53627800
        18         1.68984599         0.00001037         0.53534300
        19         1.68999116         0.00001235         0.53642000
        20         1.68997240         0.00000787         0.53655000
