 Cycle        E        err_E       a_r
         1         1.67482710         0.00100082         0.59365000
         2         1.71094897         0.00035399         0.58747500
         3         1.72942514         0.00031023         0.58310000
         4         1.72789652         0.00022219         0.58545000
         5         1.72158742         0.00016942         0.58277500
         6         1.72148332         0.00016381         0.58692500
         7         1.72823395         0.00033016         0.58370000
         8         1.71928805         0.00024928         0.58482500
         9         1.72384019         0.00017501         0.58447500
        10         1.72964518         0.00020873         0.58742500
        11         1.72409837         0.00022799         0.58400000
        12         1.72392328         0.00024974         0.58342500
        13         1.72404295         0.00032473         0.58762500
        14         1.72498464         0.00020930         0.58277500
        15         1.72327005         0.00025948         0.58582500
        16         1.72362679         0.00027742         0.58345000
        17         1.72848540         0.00033940         0.58437500
        18         1.72321807         0.00018023         0.58235000
        19         1.72363237         0.00020971         0.58462500
        20         1.73175954         0.00020004         0.58362500
