 Cycle        E        err_E       a_r
         1         1.68858591         0.00000354         0.54445400
         2         1.68833577         0.00000429         0.54255600
         3         1.68851840         0.00000362         0.54192800
         4         1.68836538         0.00000323         0.54288400
         5         1.68846582         0.00000429         0.54258500
         6         1.68836738         0.00000714         0.54293600
         7         1.68845932         0.00000217         0.54250200
         8         1.68842992         0.00000485         0.54379300
         9         1.68852830         0.00000489         0.54269000
        10         1.68847478         0.00000451         0.54221400
        11         1.68839061         0.00000449         0.54292400
        12         1.68844569         0.00000374         0.54274400
        13         1.68844424         0.00000429         0.54246000
        14         1.68838221         0.00000266         0.54269100
        15         1.68824458         0.00000367         0.54149400
        16         1.68838674         0.00000441         0.54137200
        17         1.68850776         0.00000821         0.54326800
        18         1.68838083         0.00000412         0.54309300
        19         1.68840764         0.00000446         0.54316400
        20         1.68843320         0.00000357         0.54250600
