 Cycle        E        err_E       a_r
         1         1.68174341         0.00272934         0.64090000
         2         1.79145191         0.00048580         0.62400000
         3         1.81124302         0.00041410         0.61945000
         4         1.82767127         0.00050144         0.62107500
         5         1.83250494         0.00054703         0.61807500
         6         1.83611368         0.00039933         0.61740000
         7         1.83381122         0.00042316         0.61785000
         8         1.82328245         0.00058240         0.61912500
         9         1.82990259         0.00074795         0.61942500
        10         1.82579687         0.00030488         0.61792500
        11         1.82021251         0.00055728         0.62362500
        12         1.82870550         0.00033130         0.61980000
        13         1.82715741         0.00040150         0.61887500
        14         1.81721513         0.00035459         0.61882500
        15         1.83258830         0.00054448         0.61432500
        16         1.83138702         0.00073887         0.62475000
        17         1.82233341         0.00045052         0.61737500
        18         1.81755654         0.00031549         0.61830000
        19         1.82471731         0.00034512         0.61960000
        20         1.82955020         0.00032673         0.62122500
