 Cycle        E        err_E       a_r
         1         1.68939116         0.00000743         0.54162100
         2         1.68867722         0.00000459         0.54118800
         3         1.68864701         0.00000782         0.54006900
         4         1.68889028         0.00000702         0.54057500
         5         1.68912004         0.00001311         0.54087000
         6         1.68885291         0.00000915         0.54110900
         7         1.68881395         0.00000719         0.54039500
         8         1.68871996         0.00000840         0.53905100
         9         1.68875406         0.00000756         0.54108500
        10         1.68888776         0.00000388         0.54152300
        11         1.68883560         0.00000651         0.54043400
        12         1.68875807         0.00000795         0.54052700
        13         1.68869001         0.00000937         0.54001600
        14         1.68890464         0.00000566         0.54142700
        15         1.68862499         0.00000804         0.54010300
        16         1.68873855         0.00000876         0.54101900
        17         1.68872958         0.00000626         0.53969000
        18         1.68871061         0.00000641         0.54049600
        19         1.68876971         0.00000840         0.54016000
        20         1.68864732         0.00000759         0.54063000
