 Cycle        E        err_E       a_r
         1         1.68795174         0.00001172         0.54915800
         2         1.68870229         0.00000309         0.54827800
         3         1.68892902         0.00000770         0.54721500
         4         1.68864914         0.00000765         0.54867500
         5         1.68895553         0.00000398         0.54809700
         6         1.68889497         0.00000539         0.54778000
         7         1.68900240         0.00001067         0.54847100
         8         1.68870202         0.00001077         0.54832800
         9         1.68875182         0.00000759         0.54771900
        10         1.68888258         0.00000513         0.54819000
        11         1.68895649         0.00000974         0.54721800
        12         1.68846704         0.00000970         0.54740300
        13         1.68869396         0.00000867         0.54872900
        14         1.68882384         0.00000729         0.54738900
        15         1.68886663         0.00000443         0.54797900
        16         1.68881835         0.00000692         0.54765800
        17         1.68876614         0.00000803         0.54879300
        18         1.68878551         0.00000778         0.54865900
        19         1.68886618         0.00000795         0.54745600
        20         1.68874579         0.00000962         0.54767500
