 Cycle        E        err_E       a_r
         1         1.68820888         0.00000651         0.54627400
         2         1.68843820         0.00000554         0.54600600
         3         1.68833500         0.00000223         0.54692000
         4         1.68840100         0.00000445         0.54640900
         5         1.68836020         0.00000374         0.54526700
         6         1.68839562         0.00000580         0.54526300
         7         1.68842754         0.00000328         0.54674600
         8         1.68850844         0.00000483         0.54612900
         9         1.68835047         0.00000246         0.54656600
        10         1.68845186         0.00000500         0.54654700
        11         1.68843198         0.00000517         0.54684100
        12         1.68838612         0.00000489         0.54580000
        13         1.68842482         0.00000369         0.54641400
        14         1.68837690         0.00000472         0.54572200
        15         1.68837739         0.00000382         0.54666500
        16         1.68850890         0.00000521         0.54682200
        17         1.68837305         0.00000271         0.54717300
        18         1.68838826         0.00000362         0.54684000
        19         1.68833256         0.00000514         0.54519900
        20         1.68842670         0.00000389         0.54579400
