 Cycle        E        err_E       a_r
         1         1.67878297         0.00050153         0.57505000
         2         1.69947220         0.00021040         0.57205000
         3         1.70169358         0.00014516         0.57215000
         4         1.70231162         0.00010104         0.57087500
         5         1.70335704         0.00016962         0.57395000
         6         1.70399092         0.00016152         0.57390000
         7         1.70298762         0.00017053         0.57577500
         8         1.70590924         0.00021059         0.57500000
         9         1.70822822         0.00018856         0.57170000
        10         1.70968208         0.00018527         0.56887500
        11         1.70649280         0.00015057         0.57312500
        12         1.70610253         0.00017100         0.57407500
        13         1.71001050         0.00013896         0.56692500
        14         1.70423338         0.00010049         0.57280000
        15         1.70350369         0.00014003         0.57450000
        16         1.70192030         0.00021606         0.57075000
        17         1.70432229         0.00016352         0.57262500
        18         1.70232478         0.00012096         0.57210000
        19         1.70524589         0.00018027         0.57210000
        20         1.70611084         0.00016951         0.57560000
