 Cycle        E        err_E       a_r
         1         1.69041016         0.00001385         0.53753400
         2         1.69011836         0.00001269         0.53668400
         3         1.68987759         0.00000999         0.53779600
         4         1.69000468         0.00001286         0.53628300
         5         1.68996970         0.00000878         0.53627300
         6         1.68969147         0.00000706         0.53579600
         7         1.69023062         0.00000968         0.53650400
         8         1.68961584         0.00001414         0.53608700
         9         1.68998964         0.00001251         0.53685400
        10         1.68984535         0.00000800         0.53665400
        11         1.68994549         0.00001229         0.53698600
        12         1.68985473         0.00000914         0.53541800
        13         1.68979941         0.00001466         0.53696300
        14         1.68971109         0.00000800         0.53702200
        15         1.68967982         0.00001004         0.53655100
        16         1.68944827         0.00001258         0.53706700
        17         1.68944781         0.00001058         0.53596700
        18         1.68973923         0.00001254         0.53634500
        19         1.68978239         0.00001493         0.53615800
        20         1.68991513         0.00000448         0.53698700
