 Cycle        E        err_E       a_r
         1         1.81681299         0.00970910         0.75225000
         2         2.24837742         0.00306597         0.70222500
         3         2.35537230         0.00052383         0.69392500
         4         2.35317121         0.00048776         0.69880000
         5         2.37245853         0.00060975         0.69705000
         6         2.34581312         0.00112346         0.69857500
         7         2.35072743         0.00101223         0.69477500
         8         2.36129364         0.00089923         0.70157500
         9         2.36431819         0.00076877         0.69540000
        10         2.35814013         0.00067111         0.69867500
        11         2.37582969         0.00060932         0.69472500
        12         2.36399265         0.00057884         0.69600000
        13         2.34256181         0.00136960         0.69952500
        14         2.32854873         0.00137133         0.70062500
        15         2.34595584         0.00143969         0.69820000
        16         2.33943184         0.00107073         0.69910000
        17         2.34607029         0.00142531         0.69970000
        18         2.35867033         0.00112626         0.69747500
        19         2.33809258         0.00065178         0.69712500
        20         2.36707183         0.00077680         0.69922500
