 Cycle        E        err_E       a_r
         1         1.68869578         0.00000860         0.54156300
         2         1.68841957         0.00000809         0.54145900
         3         1.68857041         0.00002557         0.54158500
         4         1.68851293         0.00000400         0.54138800
         5         1.68853598         0.00000355         0.54085200
         6         1.68847406         0.00000526         0.54143500
         7         1.68839409         0.00000402         0.54171500
         8         1.68841011         0.00000788         0.54069800
         9         1.68841929         0.00000423         0.54131000
        10         1.68843471         0.00000338         0.54153800
        11         1.68855122         0.00000476         0.54084700
        12         1.68852277         0.00000462         0.54267600
        13         1.68845551         0.00000572         0.54194500
        14         1.68842097         0.00000542         0.54163900
        15         1.68840965         0.00000320         0.54122200
        16         1.68836671         0.00000271         0.54154000
        17         1.68841049         0.00000460         0.54119600
        18         1.68842258         0.00000428         0.54197600
        19         1.68848965         0.00000332         0.54203900
        20         1.68842085         0.00000371         0.54198600
