 Cycle        E        err_E       a_r
         1         1.68816000         0.00000675         0.54657200
         2         1.68843759         0.00000748         0.54592000
         3         1.68840862         0.00000438         0.54729100
         4         1.68855262         0.00000453         0.54713900
         5         1.68832208         0.00000466         0.54652800
         6         1.68843490         0.00000380         0.54645800
         7         1.68855838         0.00000510         0.54618500
         8         1.68846787         0.00000193         0.54783200
         9         1.68851029         0.00000481         0.54633000
        10         1.68850859         0.00000327         0.54591600
        11         1.68857893         0.00000475         0.54645500
        12         1.68847222         0.00000600         0.54591600
        13         1.68849015         0.00000440         0.54698900
        14         1.68848383         0.00000424         0.54708300
        15         1.68837499         0.00000603         0.54704900
        16         1.68837959         0.00000348         0.54713800
        17         1.68836148         0.00000461         0.54680700
        18         1.68852572         0.00000594         0.54584400
        19         1.68850131         0.00000537         0.54643600
        20         1.68852992         0.00000512         0.54660100
