 Cycle        E        err_E       a_r
         1         1.69192163         0.00003814         0.53822500
         2         1.69048329         0.00002562         0.53650000
         3         1.69029827         0.00002985         0.54112500
         4         1.68930130         0.00002840         0.53932500
         5         1.68921195         0.00002600         0.53365000
         6         1.68919700         0.00002417         0.53881250
         7         1.68945316         0.00002535         0.53738750
         8         1.68962002         0.00003443         0.53612500
         9         1.68883965         0.00003755         0.53548750
        10         1.68940980         0.00005625         0.53823750
        11         1.68978056         0.00003131         0.54093750
        12         1.68959400         0.00002094         0.53685000
        13         1.68939291         0.00002657         0.53542500
        14         1.68937150         0.00004567         0.53663750
        15         1.68935655         0.00002741         0.53518750
        16         1.68905737         0.00003138         0.53860000
        17         1.68967195         0.00002697         0.53520000
        18         1.68952420         0.00004235         0.53960000
        19         1.69009831         0.00002407         0.53368750
        20         1.69000067         0.00003264         0.53770000
