 Cycle        E        err_E       a_r
         1         1.68478146         0.00032464         0.56692500
         2         1.69624136         0.00012216         0.56717500
         3         1.69724746         0.00014604         0.56767500
         4         1.69889030         0.00019561         0.56695000
         5         1.69846828         0.00009344         0.56130000
         6         1.70054496         0.00011802         0.56340000
         7         1.69777392         0.00010448         0.56462500
         8         1.69846549         0.00022531         0.56427500
         9         1.69972964         0.00018514         0.56332500
        10         1.69860781         0.00010788         0.56480000
        11         1.69763493         0.00011794         0.56822500
        12         1.69892852         0.00020688         0.56385000
        13         1.69864583         0.00018520         0.56645000
        14         1.69712580         0.00014216         0.56770000
        15         1.69932314         0.00018643         0.56455000
        16         1.69983464         0.00019269         0.56207500
        17         1.69819498         0.00022099         0.56937500
        18         1.69956509         0.00005436         0.56360000
        19         1.70084791         0.00011978         0.55885000
        20         1.69794529         0.00010724         0.56652500
