 Cycle        E        err_E       a_r
         1         1.72845690         0.00621388         0.70430000
         2         2.00619621         0.00188826         0.67122500
         3         2.06493976         0.00042116         0.67017500
         4         2.08119541         0.00040523         0.66795000
         5         2.08821865         0.00069766         0.66507500
         6         2.10693927         0.00070216         0.66682500
         7         2.09890970         0.00069520         0.66875000
         8         2.10463258         0.00061920         0.66932500
         9         2.09073697         0.00059839         0.66815000
        10         2.08138134         0.00064187         0.66917500
        11         2.09062666         0.00067175         0.66815000
        12         2.09986858         0.00107858         0.66715000
        13         2.08615180         0.00116003         0.66212500
        14         2.09529048         0.00072450         0.66547500
        15         2.09561570         0.00066230         0.66565000
        16         2.09655835         0.00070743         0.66695000
        17         2.10086944         0.00062628         0.66815000
        18         2.11638982         0.00050026         0.66395000
        19         2.09412374         0.00047468         0.66817500
        20         2.10385922         0.00057585         0.66262500
