 Cycle        E        err_E       a_r
         1         1.68180860         0.00249816         0.63425000
         2         1.78053710         0.00059082         0.61960000
         3         1.81465145         0.00025486         0.61842500
         4         1.81142779         0.00028565         0.61562500
         5         1.81630357         0.00032037         0.61617500
         6         1.80728412         0.00055434         0.62052500
         7         1.82069524         0.00045002         0.61682500
         8         1.82371487         0.00038941         0.61717500
         9         1.81818176         0.00027606         0.62087500
        10         1.82319600         0.00044573         0.61887500
        11         1.82069665         0.00046237         0.61457500
        12         1.82085465         0.00067721         0.62045000
        13         1.82400544         0.00034577         0.61835000
        14         1.82050346         0.00063456         0.61785000
        15         1.82026325         0.00061874         0.61322500
        16         1.81723821         0.00037151         0.61672500
        17         1.81211913         0.00023389         0.61937500
        18         1.81819583         0.00050327         0.61807500
        19         1.82259166         0.00059850         0.61152500
        20         1.82188869         0.00031606         0.61520000
