 Cycle        E        err_E       a_r
         1         1.69960000         0.00009460         0.52430000
         2         1.70081251         0.00017781         0.52137500
         3         1.70439719         0.00015668         0.52910000
         4         1.70384111         0.00010417         0.52425000
         5         1.70217958         0.00006964         0.52785000
         6         1.70279680         0.00014891         0.52427500
         7         1.70174813         0.00010448         0.52710000
         8         1.69986422         0.00012112         0.52495000
         9         1.70110036         0.00014009         0.52457500
        10         1.70006666         0.00010493         0.52482500
        11         1.70258248         0.00015276         0.52197500
        12         1.70343329         0.00011172         0.52845000
        13         1.70286291         0.00008403         0.52427500
        14         1.70099881         0.00014508         0.52677500
        15         1.70135606         0.00007564         0.52447500
        16         1.69977197         0.00016685         0.52297500
        17         1.69749918         0.00012722         0.52285000
        18         1.70249558         0.00008899         0.52380000
        19         1.70191961         0.00008738         0.52355000
        20         1.70075225         0.00008867         0.52707500
