 Cycle        E        err_E       a_r
         1         1.68933436         0.00002247         0.54626250
         2         1.68884587         0.00002784         0.54261250
         3         1.68853535         0.00002177         0.54280000
         4         1.68857126         0.00002328         0.54402500
         5         1.68867480         0.00003339         0.54417500
         6         1.68892996         0.00002427         0.54462500
         7         1.68886240         0.00002305         0.54393750
         8         1.68862975         0.00003161         0.54193750
         9         1.68860491         0.00002090         0.54508750
        10         1.68861060         0.00002368         0.54303750
        11         1.68831214         0.00001010         0.54117500
        12         1.68904442         0.00002263         0.54617500
        13         1.68865432         0.00002939         0.54608750
        14         1.68839590         0.00002593         0.54312500
        15         1.68843542         0.00002498         0.54542500
        16         1.68886260         0.00002773         0.54541250
        17         1.68836199         0.00002333         0.54627500
        18         1.68895820         0.00002996         0.54353750
        19         1.68906357         0.00001361         0.54488750
        20         1.68839117         0.00002393         0.54305000
