 Cycle        E        err_E       a_r
         1         1.69187713         0.00004541         0.53888750
         2         1.69048299         0.00002253         0.54027500
         3         1.69046225         0.00003901         0.53996250
         4         1.69022254         0.00002985         0.54010000
         5         1.69017285         0.00003549         0.53831250
         6         1.68968086         0.00004500         0.53733750
         7         1.68957435         0.00002891         0.53698750
         8         1.69000492         0.00002122         0.53957500
         9         1.69032262         0.00003960         0.53893750
        10         1.69005563         0.00003572         0.54091250
        11         1.69047421         0.00003006         0.53811250
        12         1.68971274         0.00005279         0.53893750
        13         1.68969453         0.00006124         0.54040000
        14         1.69024947         0.00003872         0.54057500
        15         1.69021516         0.00005283         0.54053750
        16         1.69066266         0.00004454         0.53893750
        17         1.69029028         0.00005265         0.53495000
        18         1.69042302         0.00003411         0.54095000
        19         1.69023875         0.00001993         0.53982500
        20         1.68970761         0.00004293         0.54087500
