 Cycle        E        err_E       a_r
         1         1.68662389         0.00006921         0.54823750
         2         1.68841592         0.00002569         0.54856250
         3         1.68926150         0.00002023         0.55240000
         4         1.68915328         0.00002308         0.54992500
         5         1.68923392         0.00001271         0.55170000
         6         1.68888089         0.00003475         0.54905000
         7         1.68951187         0.00002298         0.55133750
         8         1.69001702         0.00002537         0.54847500
         9         1.68941842         0.00002993         0.55351250
        10         1.68912154         0.00002612         0.54816250
        11         1.68936762         0.00003035         0.54915000
        12         1.68918786         0.00003435         0.55108750
        13         1.68972323         0.00001933         0.55136250
        14         1.68970655         0.00003231         0.54932500
        15         1.68949427         0.00002677         0.55095000
        16         1.68934592         0.00001913         0.55395000
        17         1.68935438         0.00004313         0.55097500
        18         1.68982991         0.00003093         0.54925000
        19         1.68936626         0.00002977         0.55288750
        20         1.68942633         0.00002398         0.54902500
