 Cycle        E        err_E       a_r
         1         1.68826317         0.00001141         0.54915000
         2         1.68888512         0.00000908         0.54751100
         3         1.68887585         0.00000981         0.54878200
         4         1.68867659         0.00001300         0.54911600
         5         1.68861816         0.00001024         0.54903700
         6         1.68874759         0.00001089         0.54843200
         7         1.68881261         0.00000846         0.54853800
         8         1.68877181         0.00000604         0.54798400
         9         1.68869766         0.00000488         0.54814800
        10         1.68891031         0.00000684         0.54804800
        11         1.68866853         0.00000698         0.54909000
        12         1.68874172         0.00000765         0.54850700
        13         1.68874421         0.00000549         0.54821000
        14         1.68883176         0.00000448         0.54871400
        15         1.68867204         0.00000727         0.54903900
        16         1.68875338         0.00000760         0.54819900
        17         1.68894852         0.00000434         0.54783600
        18         1.68886244         0.00001112         0.54857300
        19         1.68888076         0.00000832         0.54877900
        20         1.68868351         0.00000790         0.54862900
