 Cycle        E        err_E       a_r
         1         1.69618370         0.00442029         0.66417500
         2         1.86993526         0.00076167         0.64765000
         3         1.90143080         0.00052588         0.64292500
         4         1.91780598         0.00054858         0.64187500
         5         1.91914412         0.00047499         0.63897500
         6         1.90912772         0.00059465         0.64117500
         7         1.91255611         0.00045639         0.63715000
         8         1.91071363         0.00054630         0.63537500
         9         1.91080680         0.00037475         0.63960000
        10         1.91725472         0.00064453         0.63647500
        11         1.92747580         0.00039568         0.63267500
        12         1.91899940         0.00065388         0.63755000
        13         1.90645369         0.00052031         0.63805000
        14         1.91436336         0.00036950         0.63590000
        15         1.90394749         0.00071584         0.63552500
        16         1.91232982         0.00040212         0.63715000
        17         1.91721332         0.00063819         0.63622500
        18         1.92641078         0.00023854         0.63732500
        19         1.92380590         0.00036979         0.63937500
        20         1.92033911         0.00054253         0.63735000
