 Cycle        E        err_E       a_r
         1         1.68812875         0.00000864         0.54974000
         2         1.68856828         0.00000912         0.54861300
         3         1.68868829         0.00000960         0.54874300
         4         1.68864332         0.00001292         0.54824100
         5         1.68859892         0.00000498         0.54818500
         6         1.68863706         0.00000651         0.54783100
         7         1.68855055         0.00000506         0.54786700
         8         1.68876180         0.00000699         0.54854700
         9         1.68868231         0.00000974         0.54921200
        10         1.68873960         0.00000570         0.54870200
        11         1.68870675         0.00000689         0.54920500
        12         1.68879953         0.00000684         0.54907500
        13         1.68869410         0.00000458         0.54812300
        14         1.68874071         0.00000792         0.54794000
        15         1.68877700         0.00000258         0.54812300
        16         1.68848565         0.00000549         0.54785500
        17         1.68862712         0.00000736         0.54883400
        18         1.68871735         0.00000538         0.54825000
        19         1.68869572         0.00000722         0.54809600
        20         1.68879813         0.00000406         0.54811400
