 Cycle        E        err_E       a_r
         1         1.68819307         0.00000840         0.54870600
         2         1.68866418         0.00000597         0.54707500
         3         1.68857576         0.00000906         0.54829000
         4         1.68867774         0.00000296         0.54789300
         5         1.68875924         0.00000724         0.54751000
         6         1.68872163         0.00000642         0.54882500
         7         1.68860429         0.00000442         0.54777400
         8         1.68858778         0.00000624         0.54723800
         9         1.68859356         0.00000558         0.54752400
        10         1.68875191         0.00000632         0.54815400
        11         1.68866296         0.00000599         0.54751300
        12         1.68855664         0.00000628         0.54801400
        13         1.68876603         0.00000455         0.54777200
        14         1.68862030         0.00001027         0.54858900
        15         1.68865740         0.00000530         0.54718400
        16         1.68860108         0.00000463         0.54767300
        17         1.68858699         0.00000769         0.54748000
        18         1.68890942         0.00000489         0.54712300
        19         1.68852292         0.00000378         0.54888200
        20         1.68864554         0.00000659         0.54766600
