 Cycle        E        err_E       a_r
         1         1.68996361         0.00001213         0.53810500
         2         1.68921330         0.00000626         0.53745600
         3         1.68916941         0.00000890         0.53765400
         4         1.68929561         0.00000830         0.53815000
         5         1.68938056         0.00000986         0.53832300
         6         1.68935152         0.00000748         0.53756100
         7         1.68911682         0.00000475         0.53815300
         8         1.68929435         0.00000486         0.53712700
         9         1.68910530         0.00001149         0.53758400
        10         1.68922695         0.00000898         0.53836200
        11         1.68917847         0.00000853         0.53823400
        12         1.68932290         0.00000776         0.53792200
        13         1.68923209         0.00000934         0.53794900
        14         1.68925148         0.00000867         0.53650300
        15         1.68933925         0.00000787         0.53800400
        16         1.68917336         0.00000460         0.53717100
        17         1.68934085         0.00001062         0.53885900
        18         1.68925082         0.00001169         0.53806800
        19         1.68910829         0.00001116         0.53817500
        20         1.68894307         0.00001195         0.53740900
