 Cycle        E        err_E       a_r
         1         1.68446982         0.00011814         0.55836250
         2         1.68943500         0.00003480         0.55217500
         3         1.69079761         0.00004066         0.55548750
         4         1.69070961         0.00005538         0.55292500
         5         1.69055840         0.00005957         0.55145000
         6         1.69001212         0.00002294         0.55238750
         7         1.68977258         0.00004419         0.55262500
         8         1.69031000         0.00001964         0.55420000
         9         1.69018807         0.00003531         0.55323750
        10         1.69105614         0.00001918         0.55176250
        11         1.69064882         0.00003786         0.55317500
        12         1.69019678         0.00004198         0.55223750
        13         1.69054671         0.00003575         0.55310000
        14         1.69058749         0.00003714         0.55291250
        15         1.69038305         0.00002822         0.55385000
        16         1.69032979         0.00004300         0.55286250
        17         1.68937719         0.00004625         0.55468750
        18         1.69096697         0.00003422         0.55587500
        19         1.69046578         0.00005131         0.55465000
        20         1.68951613         0.00002708         0.55465000
