 Cycle        E        err_E       a_r
         1         1.67798204         0.00293135         0.64350000
         2         1.80569616         0.00061577         0.62465000
         3         1.82471928         0.00049086         0.61972500
         4         1.83335886         0.00044704         0.62540000
         5         1.83081671         0.00044808         0.62532500
         6         1.84000522         0.00048741         0.62365000
         7         1.84175246         0.00061187         0.62502500
         8         1.84271212         0.00047073         0.62252500
         9         1.83452389         0.00043729         0.62465000
        10         1.83090761         0.00062699         0.62145000
        11         1.84315997         0.00050282         0.61912500
        12         1.83987120         0.00032747         0.62442500
        13         1.83553304         0.00042970         0.61460000
        14         1.82714941         0.00060876         0.62175000
        15         1.84210406         0.00039773         0.61985000
        16         1.84348590         0.00029035         0.61980000
        17         1.83046377         0.00042420         0.62615000
        18         1.83432758         0.00038116         0.61920000
        19         1.83899281         0.00060037         0.62395000
        20         1.84659084         0.00058454         0.62277500
