 Cycle        E        err_E       a_r
         1         1.67879082         0.00080034         0.58840000
         2         1.71564402         0.00025150         0.58502500
         3         1.72218315         0.00028335         0.58415000
         4         1.72349270         0.00016055         0.58600000
         5         1.72328282         0.00016571         0.57882500
         6         1.72184284         0.00024954         0.58420000
         7         1.71395975         0.00016154         0.58537500
         8         1.71648555         0.00022403         0.58820000
         9         1.72251818         0.00019763         0.58265000
        10         1.72005297         0.00019095         0.58115000
        11         1.71898826         0.00029987         0.57997500
        12         1.71863807         0.00026513         0.58197500
        13         1.71678959         0.00010883         0.58345000
        14         1.71739903         0.00026911         0.58197500
        15         1.72115086         0.00029247         0.58362500
        16         1.72636413         0.00013992         0.58430000
        17         1.72350642         0.00030452         0.58237500
        18         1.72139651         0.00023211         0.58242500
        19         1.72256645         0.00035934         0.58137500
        20         1.72367018         0.00024076         0.58160000
