 Cycle        E        err_E       a_r
         1         1.67021412         0.00208861         0.62072500
         2         1.76373874         0.00056501         0.60345000
         3         1.77464972         0.00024171         0.60305000
         4         1.77921035         0.00023219         0.60865000
         5         1.77845974         0.00020295         0.60757500
         6         1.78101755         0.00033619         0.60890000
         7         1.79476082         0.00046443         0.60495000
         8         1.78353171         0.00029229         0.60485000
         9         1.77845967         0.00019147         0.60372500
        10         1.78377530         0.00038212         0.60787500
        11         1.78710892         0.00031034         0.60280000
        12         1.78761114         0.00021771         0.60430000
        13         1.79019930         0.00040196         0.60412500
        14         1.79243352         0.00039959         0.60877500
        15         1.78633440         0.00041727         0.60740000
        16         1.78342046         0.00044652         0.60300000
        17         1.78006745         0.00047401         0.60515000
        18         1.77421996         0.00032464         0.60695000
        19         1.77439269         0.00037873         0.60722500
        20         1.77990907         0.00021708         0.60690000
