 Cycle        E        err_E       a_r
         1         1.67731305         0.00049374         0.57646250
         2         1.69890149         0.00018647         0.57291250
         3         1.70696057         0.00006617         0.56901250
         4         1.70608015         0.00008008         0.57395000
         5         1.70641124         0.00010278         0.56788750
         6         1.70718196         0.00011036         0.57200000
         7         1.70844068         0.00011480         0.57221250
         8         1.70941543         0.00015781         0.56625000
         9         1.71094141         0.00006207         0.57298750
        10         1.70800489         0.00010316         0.57363750
        11         1.70971194         0.00007648         0.56653750
        12         1.70748534         0.00008354         0.56871250
        13         1.70821828         0.00007048         0.56803750
        14         1.70722843         0.00008385         0.57045000
        15         1.70690156         0.00008922         0.56887500
        16         1.70669970         0.00009149         0.56996250
        17         1.70797046         0.00012647         0.56880000
        18         1.70833997         0.00010439         0.57092500
        19         1.70899086         0.00008424         0.56841250
        20         1.70572601         0.00010150         0.57183750
