 Cycle        E        err_E       a_r
         1         1.68794934         0.00001091         0.54897100
         2         1.68898661         0.00000607         0.54885500
         3         1.68893726         0.00000609         0.54823700
         4         1.68892528         0.00000811         0.54853800
         5         1.68891452         0.00000494         0.54759100
         6         1.68866301         0.00000999         0.54857900
         7         1.68896917         0.00000611         0.54826600
         8         1.68913779         0.00000450         0.54830700
         9         1.68914471         0.00001262         0.54866500
        10         1.68899805         0.00001043         0.54850300
        11         1.68896233         0.00000788         0.54829200
        12         1.68870128         0.00000547         0.54837700
        13         1.68899466         0.00000813         0.54841900
        14         1.68876833         0.00000692         0.54829000
        15         1.68893685         0.00000911         0.54767200
        16         1.68899511         0.00000638         0.54809300
        17         1.68880874         0.00000804         0.54802400
        18         1.68908717         0.00001016         0.54888500
        19         1.68886957         0.00000426         0.54820800
        20         1.68911505         0.00000815         0.54845700
