 Cycle        E        err_E       a_r
         1         1.71014972         0.00560515         0.69180000
         2         1.96526375         0.00150978         0.66470000
         3         2.02020001         0.00059866         0.66542500
         4         2.02605243         0.00060165         0.66205000
         5         2.02172647         0.00051650         0.66070000
         6         2.02516598         0.00049050         0.66252500
         7         2.02870009         0.00049811         0.66400000
         8         2.03366425         0.00055364         0.65807500
         9         2.03136107         0.00059603         0.65752500
        10         2.03781836         0.00024780         0.65650000
        11         2.02430095         0.00054142         0.66267500
        12         2.03588189         0.00071952         0.65805000
        13         2.03501501         0.00081710         0.66000000
        14         2.03574112         0.00053054         0.65650000
        15         2.03301651         0.00066895         0.65770000
        16         2.02947725         0.00072041         0.65935000
        17         2.03232986         0.00092777         0.65530000
        18         2.03802465         0.00053587         0.65567500
        19         2.02708400         0.00075066         0.65570000
        20         2.03982275         0.00055862         0.65737500
