 Cycle        E        err_E       a_r
         1         1.68843857         0.00002081         0.54862500
         2         1.68849956         0.00001604         0.54437500
         3         1.68838722         0.00001579         0.54352500
         4         1.68868624         0.00001889         0.54483750
         5         1.68856478         0.00001865         0.54551250
         6         1.68844232         0.00001135         0.54455000
         7         1.68865073         0.00001170         0.54301250
         8         1.68872150         0.00001984         0.54568750
         9         1.68899085         0.00002429         0.54640000
        10         1.68901641         0.00002060         0.54335000
        11         1.68831285         0.00001979         0.54670000
        12         1.68847506         0.00001280         0.54572500
        13         1.68865534         0.00001847         0.54258750
        14         1.68824479         0.00002491         0.54567500
        15         1.68848279         0.00002688         0.54552500
        16         1.68839278         0.00002771         0.54632500
        17         1.68850797         0.00004062         0.54640000
        18         1.68900636         0.00002327         0.54758750
        19         1.68876545         0.00001801         0.54421250
        20         1.68877818         0.00001611         0.54661250
