 Cycle        E        err_E       a_r
         1         1.68503610         0.00005805         0.55422500
         2         1.68838678         0.00002390         0.55096250
         3         1.68862974         0.00002487         0.55116250
         4         1.68874453         0.00002682         0.55258750
         5         1.68896362         0.00001878         0.55083750
         6         1.68891063         0.00003390         0.55176250
         7         1.68939055         0.00002815         0.55092500
         8         1.68958871         0.00003024         0.54678750
         9         1.68976466         0.00002091         0.54983750
        10         1.68906565         0.00004015         0.55020000
        11         1.68971082         0.00002479         0.55057500
        12         1.68935634         0.00003383         0.55108750
        13         1.68890113         0.00003367         0.55445000
        14         1.68873313         0.00003741         0.55010000
        15         1.68895940         0.00002969         0.55052500
        16         1.68925200         0.00003261         0.54868750
        17         1.68900788         0.00002190         0.54985000
        18         1.68900374         0.00003951         0.54587500
        19         1.69011706         0.00002863         0.54965000
        20         1.68951367         0.00002381         0.55087500
