 Cycle        E        err_E       a_r
         1         1.76788379         0.00871476         0.73025000
         2         2.14614903         0.00276622         0.70235000
         3         2.26281046         0.00104867         0.68950000
         4         2.30556111         0.00083899         0.68957500
         5         2.30628963         0.00080057         0.69115000
         6         2.32166868         0.00088966         0.69045000
         7         2.31298708         0.00068943         0.68532500
         8         2.28510808         0.00088646         0.68620000
         9         2.27594479         0.00072378         0.69082500
        10         2.31826918         0.00074438         0.68765000
        11         2.33529681         0.00059709         0.68935000
        12         2.31862299         0.00089167         0.68725000
        13         2.30704797         0.00110666         0.68542500
        14         2.30782567         0.00068005         0.68797500
        15         2.32336427         0.00114408         0.68365000
        16         2.28657050         0.00079579         0.68835000
        17         2.27118684         0.00083106         0.69030000
        18         2.28811902         0.00095502         0.68920000
        19         2.30127981         0.00079700         0.68712500
        20         2.30322689         0.00057879         0.68460000
