 Cycle        E        err_E       a_r
         1         1.69570118         0.00008915         0.52780000
         2         1.69427392         0.00008248         0.53136250
         3         1.69520777         0.00006092         0.52810000
         4         1.69357193         0.00008560         0.52945000
         5         1.69380111         0.00004241         0.53031250
         6         1.69439583         0.00005414         0.52991250
         7         1.69429232         0.00007666         0.52782500
         8         1.69476858         0.00004568         0.53131250
         9         1.69546064         0.00007388         0.53207500
        10         1.69519258         0.00005407         0.52758750
        11         1.69390954         0.00002113         0.52967500
        12         1.69449440         0.00003339         0.53092500
        13         1.69518055         0.00004714         0.53077500
        14         1.69528268         0.00004465         0.52971250
        15         1.69595338         0.00008837         0.53307500
        16         1.69552036         0.00004210         0.52900000
        17         1.69476050         0.00003777         0.52951250
        18         1.69493738         0.00005507         0.53075000
        19         1.69447823         0.00003679         0.53000000
        20         1.69472981         0.00005544         0.53006250
