 Cycle        E        err_E       a_r
         1         1.68804687         0.00000975         0.54755400
         2         1.68855010         0.00000462         0.54813700
         3         1.68846381         0.00000322         0.54689400
         4         1.68857839         0.00000477         0.54769500
         5         1.68850308         0.00000784         0.54723900
         6         1.68862980         0.00000560         0.54692100
         7         1.68854486         0.00000295         0.54791900
         8         1.68845084         0.00000536         0.54757200
         9         1.68863418         0.00000475         0.54764800
        10         1.68856600         0.00000479         0.54734500
        11         1.68835925         0.00000520         0.54761300
        12         1.68840401         0.00000342         0.54737000
        13         1.68851706         0.00000343         0.54657900
        14         1.68864498         0.00000672         0.54701200
        15         1.68859472         0.00000456         0.54752900
        16         1.68848735         0.00000373         0.54755400
        17         1.68852528         0.00000441         0.54772500
        18         1.68850642         0.00000960         0.54697600
        19         1.68845583         0.00000641         0.54687100
        20         1.68861144         0.00000861         0.54748600
