 Cycle        E        err_E       a_r
         1         1.68884823         0.00414240         0.66932500
         2         1.87236396         0.00144586         0.64422500
         3         1.92355676         0.00041070         0.64557500
         4         1.94085102         0.00070733         0.64252500
         5         1.94423204         0.00063203         0.63830000
         6         1.93411057         0.00049545         0.64107500
         7         1.92610091         0.00033372         0.64197500
         8         1.92532222         0.00045779         0.64310000
         9         1.93210510         0.00046250         0.64005000
        10         1.93478495         0.00046682         0.63862500
        11         1.93415673         0.00063588         0.64102500
        12         1.94304571         0.00058176         0.64292500
        13         1.93675565         0.00045447         0.64242500
        14         1.94109997         0.00074007         0.63845000
        15         1.93756156         0.00042874         0.63932500
        16         1.93243552         0.00063978         0.64072500
        17         1.93254061         0.00090396         0.64210000
        18         1.93555276         0.00057094         0.64180000
        19         1.93421095         0.00047187         0.63910000
        20         1.93908732         0.00059133         0.64517500
