 Cycle        E        err_E       a_r
         1         1.69121924         0.00001555         0.53568300
         2         1.69059248         0.00001282         0.53552000
         3         1.69040464         0.00001798         0.53576400
         4         1.69045513         0.00000906         0.53506700
         5         1.69068898         0.00000948         0.53453500
         6         1.69082661         0.00001161         0.53491000
         7         1.69032862         0.00001361         0.53592900
         8         1.69041422         0.00001407         0.53546600
         9         1.69035623         0.00001131         0.53508500
        10         1.69043654         0.00001933         0.53486600
        11         1.69040718         0.00000600         0.53526900
        12         1.69015077         0.00001010         0.53466100
        13         1.69040925         0.00000802         0.53609500
        14         1.69006693         0.00001290         0.53465000
        15         1.69024274         0.00001177         0.53527700
        16         1.69071486         0.00001565         0.53567500
        17         1.69041982         0.00001387         0.53490900
        18         1.69059470         0.00000857         0.53465500
        19         1.69054526         0.00001264         0.53562600
        20         1.69059150         0.00000946         0.53492800
