 Cycle        E        err_E       a_r
         1         1.69039615         0.00001257         0.53574100
         2         1.69004189         0.00001426         0.53581700
         3         1.68982963         0.00001383         0.53627100
         4         1.68969913         0.00000649         0.53600500
         5         1.68983820         0.00000865         0.53675200
         6         1.68991348         0.00001424         0.53562600
         7         1.69016112         0.00001631         0.53685000
         8         1.68986627         0.00001197         0.53632000
         9         1.68975095         0.00001040         0.53656600
        10         1.68991043         0.00001579         0.53610000
        11         1.68985236         0.00001515         0.53536300
        12         1.68941716         0.00000787         0.53564900
        13         1.68960940         0.00001217         0.53573000
        14         1.68995611         0.00001750         0.53587700
        15         1.68998300         0.00001323         0.53582700
        16         1.68999780         0.00001212         0.53520000
        17         1.68981506         0.00001045         0.53656400
        18         1.69012234         0.00001304         0.53594700
        19         1.68953726         0.00001985         0.53543000
        20         1.68995483         0.00001019         0.53550800
