 Cycle        E        err_E       a_r
         1         1.76344565         0.00854164         0.72707500
         2         2.13532554         0.00172059         0.69507500
         3         2.21527241         0.00064739         0.68737500
         4         2.23765394         0.00086751         0.68460000
         5         2.24982831         0.00084852         0.68462500
         6         2.23386934         0.00078480         0.68452500
         7         2.25527471         0.00083041         0.68067500
         8         2.25632674         0.00120909         0.68435000
         9         2.24354711         0.00112479         0.68277500
        10         2.25485841         0.00055461         0.68175000
        11         2.23873724         0.00092534         0.68687500
        12         2.25107304         0.00073731         0.68552500
        13         2.25674333         0.00070850         0.68335000
        14         2.23112352         0.00093219         0.68595000
        15         2.23658651         0.00070228         0.68632500
        16         2.22316804         0.00127309         0.68485000
        17         2.21884022         0.00101610         0.68327500
        18         2.24168553         0.00078992         0.67950000
        19         2.25147146         0.00116700         0.68162500
        20         2.25523912         0.00067524         0.68607500
